title,info
"
甘城ブリリアントパーク
",東京西部の架空の都市甘城市に立地する、強制閉園寸前の危機にあるテーマパーク「甘城ブリリアントパーク」を主な舞台として、主人公の俺様系高校生可児江西也とパークのキャストたちとのドタバタな日常を...
"
PSYCHO-PASS サイコパス 2
",シビュラシステムが構築され、人間のあらゆる心理状態や性格傾向を計測する値、通称「PSYCHO-PASS」（サイコパス）が導入されて間もない未来世界（西暦2112年）。大衆は、有害なストレスか...
"
SHIROBAKO
",P.A.WORKSによるオリジナル作品。アニメ制作に励む新米社員である少女達の物語を描く。
"
四月は君の嘘
",かつて国内外の数々のピアノコンクールで優勝し「神童」と呼ばれた有馬公生は、指導者であった母の死をきっかけにピアノを弾けなくなってしまう。3年後、14歳になった公生は幼なじみの澤部椿を通じ、同...
"
Fate/stay night -UBW-
","遠坂凛をヒロインとするシナリオ。日本のとある地方都市「冬木市」に数十年に一度現れるとされる、持ち主のあらゆる願いを叶える「聖杯」。7人の魔術師（""マスター""）は7騎の使い魔（""サーヴァント""..."
"
結城友奈は勇者である
",時は神世紀300年。結城友奈はごく普通の中学2年生として日常生活を送っていたが、彼女の所属する部活は「勇者部」だった。
"
繰繰れ! コックリさん
",少女市松こひなが一人で行ったコックリさんにより呼び出されたのは白髪、ケモ耳の自称イケメンの「コックリさん」であった。 初めは取り憑くつもりのコックリさんであったが、実は自称「人形」の所謂電波...
"
グリザイアの果実
",物語の舞台は三嶋崎という名の海辺の町である。2011年5月現在、三嶋崎には約1年前に設立された「私立美浜学園」という全寮制の学校が存在している。同月24日、主人公の少年・風見雄二がここへ転入...
"
異能バトルは日常系のなかで
",とてつもない能力に目覚めながらも何気ない日常を過ごすアニメ。異能バトルラブコメ。
"
寄生獣
",ある日、空から多数の正体不明の生物が飛来してきた。その生物は鼻腔や耳介から人間の頭に侵入し、脳に寄生して全身を支配し、他の人間を捕食するという性質を持っていた。寄生後も見た目は人間そっくりに...
"
神撃のバハムート GENESIS
",ファンタジーの世界観を持つカードバトル型RPGを原作としたアニメ。
"
オオカミ少女と黒王子
",高校1年の篠原エリカは、友達相手に話を合わせるために彼氏との恋愛話を語るが、本当は彼氏どころか恋愛経験そのものがない。友達に怪しまれ始めて嘘も限界になってきたとき、街で見かけたイケメンを盗撮...
"
俺、ツインテールになります。
",少女向けの髪型「ツインテール」をこよなく愛する高校1年生の男子・観束総二は、ある日突然、異世界からやって来た美少女・トゥアールからツインテールの幼女戦士「テイルレッド」に変身する力を授けられ...
"
クロスアンジュ 天使と竜の輪舞
",「マナ」と呼ばれる画期的な情報技術の発展により、戦争や環境問題といったものが無くなり、世界に安寧な日々が訪れた。大国「ミスルギ皇国」の第一皇女であるアンジュリーゼ・斑鳩・ミスルギも今まで不自...
"
テラフォーマーズ
",火星のテラフォーミング用に放たれて人型へ進化したゴキブリ「テラフォーマー」達と、それを駆除するために特殊な手術を施された人々との戦いを描いたSFアニメ。
"
失われた未来を求めて
",秋山奏は、所属する天文学会の個性的なメンバーと共に、今日も内浜（うちはま）学園の騒動の解決に当たっていた。ケガのため放課後遅くに保健室にいた奏は校舎に響く怪音と振動を感じ、慌てて現場に駆けつ...
"
デンキ街の本屋さん
",「日本のとある電気街」に建つ架空の書店「COMIC うまのほね」を舞台に、店員達の日常を描く青春ラブコメディ。
"
天体のメソッド
",北海道の洞爺湖をモデルにした、上空に謎の円盤が浮かぶ架空の街「霧弥湖」を舞台に、そこに引っ越してきた中学3年生の少女と、年齢不詳の謎の少女の2人を中心とした青春群像劇を描く。
"
七つの大罪
",ブリタニア一の大国・リオネス王国は、聖騎士達による『聖戦』のための軍備強化、更に増長した彼らの横暴によって荒れに荒れていた。国の現状を憂いた第三王女・エリザベスは、10年前の事件によって指名...
"
大図書館の羊飼い
",学生数5万人、教職員8000人を数える国内有数の学校法人「汐美学園」。数多くの学生寮、各種スポーツ施設はもちろん、カフェレストランから路面電車まで備える充実ぶりで、特に「大図書館」は国立図書...
"
トリニティセブン
",春日アラタの日常は「崩壊現象」という奇妙な事件により、従姉妹の春日聖と共に異界に消えてしまう。その「崩壊現象」で消えた聖を救うために、アラタは王立ビブリア学園へ入学する。だが、そこに待ち受け...
"
魔弾の王と戦姫
",ブリューヌ王国とジスタート王国が両国の国境にあるディナント平原で激突したディナントの戦いは、ジスタートの勝利で終戦。ティグルヴルムド=ヴォルン（ティグル）は、エレオノーラ=ヴィルターリア（エ...
"
旦那が何を言っているかわからない件
",オタクである「旦那」と一般人である「カオル」夫妻によるラブコメ作品。お互い分かり合えない部分がありながらもラブラブな新婚生活を描いている。
"
暁のヨナ
",高華王国（こうかおうこく）の皇女ヨナは赤い癖っ毛が悩みの何も知らない皇女として、優しい父王と幼馴染かつ護衛ハク達の元で大切に育てられていた。そんな中で迎えた16歳の誕生日、ヨナは従兄スウォン...
"
曇天に笑う
",1878年（明治11年）。明治維新以降、日本国内は士族反乱などで多くの犯罪者を抱えるようになり、彼らの多くが送り込まれた監獄からの脱獄も後を絶たなかった。そこで政府は滋賀県の琵琶湖に浮かぶ巨...
"
Hi!Schoool セハガール
",東京・羽田大鳥居にある「セハガガ学園」に入学したセガサターン・ドリームキャスト・メガドライブ。3人は「センター先生」を名乗る教師から「単位メダル100枚を獲得すればこの学園の卒業を認める」と...
