title,info
"
ラブライブ!虹ヶ咲学園スクールアイドル同好会
","東京・お台場にある、自由な校風と専攻の多様さで人気の高校「虹ヶ咲学園」。
スクールアイドルの魅力にときめいた普通科2年の高咲侑は、
幼馴染の上原歩夢とともに「スクールアイドル同好会」の門を叩..."
"
呪術廻戦
","驚異的な身体能力を持つ、少年・虎杖悠仁はごく普通の高校生活を送っていたが、
ある日“呪い”に襲われた仲間を救うため、特級呪物“両面宿儺の指”を喰らい、己の魂に呪いを宿してしまう

呪いである..."
"
魔女の旅々
","あるところに一人の旅人がいました。彼女の名はイレイナ。
若くして魔法使いの最上位「魔女」となった才女です。
幼いころに読んだ旅の物語に憧れて、
流されるように気ままな長い旅を続けています。
..."
"
ドラゴンクエスト ダイの大冒険(2020)
","かつて、魔王ハドラーにより苦しめられていた世界は、
「勇者」と呼ばれた一人の剣士とその仲間たちの手により平和を取り戻した――

時は流れ…。魔王から解放されたモンスターたちが暮らす南海の孤島..."
"
無能なナナ
","能力者と呼ばれる特殊な能力を持った少年少女たちがいた。彼らは""人類の敵""と呼ばれる怪物と戦うため、孤島の学園に集められ、日夜訓練を行っていた。中島ナナオもその1人であったが、能力を誰にも見せ..."
"
ヒプノシスマイク -Division Rap Battle- Rhyme Anima
","『戦争を止めない愚かな男共に替わって、世界は女性によって新生する!』

ある日突然宣言された言の葉党による革命。人を殺傷する全ての武器の製造禁止、及び既存の武器を全面廃棄する「H法」の施行に..."
"
神様になった日
",高校三年生の成神陽太は、受験勉強の息抜きに公園でバスケをしていたところ、修道服を着た少女・ひなと出会う。ひなは陽太に「我は全知の神である。」と高らかに宣言する。戸惑う陽太だったが……。
"
ゴールデンカムイ(第三期)
",アシㇼパを連れ去ったキロランケたちを追い、樺太にたどり着いた杉元ら先遣隊一行。荷物に隠れていたチカパシとアイヌ犬のリュウが一行に加わる想定外の出来事に驚きつつ、周辺での聞き込みを開始する。幸...
"
おそ松さん(第3期)
",
"
アサルトリリィ BOUQUET
","近未来の地球――
人類は「ヒュージ」と呼ばれる謎の生命体の出現で破滅の危機に瀕していた。

全世界が対ヒュージという一事に団結し、
科学と魔法の力<マギ>を結集した決戦兵器「CHARM（チャ..."
"
アクダマドライブ
",遙か昔、カントウとカンサイの間で戦争が起き、世界は分裂した。 カンサイはカントウの属国となり、独自の発展を遂げていった。 しかし、政治と警察力は衰退し、犯罪が横行。 その犯罪者を アクダマ ...
"
魔王城でおやすみ
",かつて、人と魔が交わり、共に存在した時代。人間の姫であるスヤリス姫は、人間に敵対する魔王タソガレによってさらわれ、魔王城に幽閉される。牢の中でベッドに座った姫はつぶやく。「…寝る以外…するこ...
"
憂国のモリアーティ
","19世紀末、イギリス。少年ばかりを狙った連続殺人事件がロンドンの市民たちを脅かしていた。
ウィリアム・ジェームズ・モリアーティは、被害者の共通点から犯人がとある貴族であることを探り当てる。
..."
"
ダンジョンに出会いを求めるのは間違っているだろうかIII
","ダンジョンで怪物に襲われていた『言葉を話す』竜女（ヴィーヴル）の少女・ウィーネ。ベルたちは彼女を地上に連れ帰り、本拠地（ホーム）で匿うことに。
ダンジョンで何が起きているのか、ウィーネの様な..."
"
体操ザムライ
","時は2002年。かつては強かった日本男子体操界。
体操に人生を注いできた元日本代表、荒垣城太郎（29）は、
思うように演技ができなくなっていた。
それでも練習を重ねる日々を送っていたが、
あ..."
"
ひぐらしのなく頃に業
","都心から遠く離れ、色濃く残る自然に囲まれた集落──雛見沢村。

かつて、ダムの底に沈むはずだった村は、
今もなお昔と変わらない姿で、
転校生・前原圭一を迎え入れる。

都会で暮らしていた圭一..."
"
安達としまむら
","わたしと安達は体育館の2階で偶然知り合ったサボり仲間だ。
一緒にピンポンしたりしなかったり程度の関係で、
人付き合いは基本的に面倒だと思っている
わたしにはちょうど良い距離だった。
のだが、..."
"
半妖の夜叉姫
",時は戦国時代。関東管領の屋敷に捕らえられた日暮とわは、管領の家来の宗久から十数年前に起きた妖怪「根の首」退治の顛末を聞かされることになる。山崩れで塚が壊れ、封印されていた妖怪が逃げ出し、何人...
"
トニカクカワイイ
","謎の美少女・司に運命の一目惚れをした少年・由崎星空（ナサ）。

ナサの決死の告白に、
彼女の返事は「結婚してくれたら、付き合ってあげる」!?

ナサと司の愛に満ち溢れた、カワイイ＆尊い新婚生..."
"
BURN THE WITCH
","遥か昔からロンドンに於ける全死因の72％は、
人々が見ることのできないドラゴンと呼ばれる“異形の存在”が関わっていた。

だが、人知れずそのドラゴンと相対する人々がいた。

ドラゴンの存在を..."
"
ご注文はうさぎですか?BLOOM
","暑い日が続くある日、喫茶店ラビットハウスには「冷やしコーヒーはじめました」の看板が。
店内では浴衣姿のココアたちが出迎えます。これは涼しげ、でもちょっと変？
そこで夏用の制服を作ることになり..."
"
戦翼のシグルドリーヴァ
","突如として世界に出現した敵性存在・ピラー。その打倒のため、神は戦乙女、ワルキューレを人類に遣わした。
それから5年、各地でピラーとの戦争が続く中、日本の館山基地にひとりの戦乙女が転属された。..."
"
進撃の巨人 The Final Season
","ついに明かされた壁の外の真実と、巨人の正体。
ここに至るまで、人類はあまりにも大きすぎる犠牲を払っていた。
それでもなお、彼らは進み続けなければならない。
壁の外にある海を、自由の象徴を、ま..."
"
くまクマ熊ベアー
",15歳ながら諸事情で引きこもり生活を送っている主人公のユナ。ある日、お気に入りのVRMMORPG「ワールドファンタジーオンライン」にログインすると、神様のいたずら（?）により、レア装備である...
"
おちこぼれフルーツタルト
",ラットプロダクションのネズミ荘には売れない芸能人の女の子たち、元子役の関野ロコ、ミュージシャンの貫井はゆ、モデルの前原仁菜が集まり、共同生活を送っていた。そんな場所にアイドルになることを夢見...
"
ジョゼと虎と魚たち
","趣味の絵と本と想像の中で、自分の世界を生きるジョゼ。
幼いころから車椅子の彼女は、ある日、危うく坂道で転げ落ちそうになった
ところを、大学生の恒夫に助けられる。

海洋生物学を専攻する恒夫は..."
"
映画 えんとつ町のプペル
",もう一歩踏み出したいすべての人に贈る、感動の冒険物語。
"
ストライクウィッチーズ ROAD to BERLIN
","突如出現した人類の敵「ネウロイ」に対抗するべく世界各国が連合軍を組んだ。
ただし、彼らに対抗できるのは特殊な魔力を持った、少女たちだけだった・・・。
遂に連合軍によるベルリン奪還作戦が始動し..."
"
いわかける! -Sport Climbing Girls-
","――「スポーツクライミング」。
それは、頭脳と肉体を駆使し、己の身体一つで壁を登る競技。


パズルゲームの天才・笠原好（かさはら・このみ）が偶然出会った、校内名物のクライミングウォール！
..."
"
魔女見習いをさがして
","「ねえ、大きくなったら何になりたい？」

教員志望でありながらも、自信をなくして進路に戸惑う大学生・長瀬ソラ―名古屋
望んだ仕事についたものの、職場になじめず葛藤する帰国子女の会社員・吉月ミ..."
"
D4DJ First Mix
","あの光景を、私たちは忘れない。

「ハッピーアラウンド！」が口癖の愛本りんく。
日本に帰国した彼女は、DJ活動が盛んな陽葉学園に転校する。
そこで目にしたDJライブに感動し、明石真秀・大鳴門..."
"
まえせつ!
",お笑い芸人を目指す４人の若き乙女たち１９歳（北風ふぶき、凩まふゆ、新谷りん、朝生祇なゆた）は、日夜バイトに明け暮れながらも一生懸命にネタの練習に励んでいる。笑いでみんなを幸せに！みんなの幸せ...
"
魔法科高校の劣等生 来訪者編
","≪灼熱のハロウィン≫から２か月。達也たちは交換留学でアメリカに行くことになった雫の送別会を楽しんでいた。
そして新学期になって雫と交換でアメリカから留学生がやって来た。彼女の名はアンジェリー..."
"
神達に拾われた男
",ブラック企業に勤める竹林竜馬は39歳で早死。しかし、天界で3柱の神の祝福を受け異世界で少年の体に生まれ変わる。森の中に住むことになったリョウマはスライム研究にのめり込み、いつの間にか1000...
"
キミと僕の最後の戦場、あるいは世界が始まる聖戦
","帝国が誇る最高戦力“使徒聖”。
イスカは最年少でその称号を得たにもかかわらず、大罪を犯したことで囚われの身となっていた。
罪の代償として命じられたのは、“氷禍の魔女”の拘束。
戦争状態にある..."
"
ツキウタ。 THE ANIMATION2
",ツキプロの看板ユニットとして活躍の場を広げる彼らの次なる目標は、合同ライブ「Full Moon Festival2020（フルムーンフェスティバル２０２０／通称：フルフェス）」！グラビの師走...
"
禍つヴァールハイト -ZUERST-
","遷都計画が進むヴァールハイト帝国に暮らすふたりの青年――
運送屋の仕事に励む少し臆病なイヌマエルと、
帝国の新米兵士で世間知らずのレオカディオ。
片方は大切な妹、もう片方は兵士としての未来に..."
"
100万の命の上に俺は立っている
",読モで成績優秀な新堂衣宇と体が弱く学校を休みがちな箱崎紅末。そんなふたりの取り合わせが珍しいと思っていた四谷友助は、次の瞬間異世界にいた。空気を動かすことしかできない新堂と、戦士のくせに剣を...
"
秘密結社 鷹の爪 ～ゴールデン・スペル～
","悪の秘密結社「鷹の爪団」は、たった一言で人間を意のままに操れる太古の呪文「ゴールデン・スペル」を蘇らせることに成功する。
「これさえあれば、念願の世界征服もステイホームしながら簡単にできる!..."
"
NOBLESSE -ノブレス-
","820年の眠りから目覚めた、
高貴なる血と精神を持つ貴族の守護者「NOBLESSE」のカディス・エトラマ・デ・ライジェル。

永き眠りから目覚めたライジェルが手にしたものは、平穏な日常だった..."
"
池袋ウエストゲートパーク
",東京、池袋。西一番街にある真島青果店の息子・マコトは、ヤクザ絡みの犯罪やギャングの縄張り争いなど警察では手出しができない問題を解決したことで、“池袋のトラブルシューター”と呼ばれていた。今日...
"
キングスレイド 意志を継ぐものたち
","運命が導く戦いの旅路へ
カイル王が魔王アングムンドを葬り去って100年。
平和な時代に見習い騎士のカーセルは生きていた。
だが、魔族が近隣に現れたとの知らせからカーセルの運命が動き始める。
..."
"
とーとつにエジプト神
",ゆる～くて可愛いエジプト神たちがフリーダムに神ライフを堪能!
"
犬と猫どっちも飼ってると毎日たのしい
","一生懸命でかわいすぎる犬と、
恐すぎる顔なのに憎めない猫と。
二匹と暮らす楽しすぎる日常――。"
"
レヱル・ロマネスク
","正和63年10月。
大廃線により鉄路の殆どが失われてしまった国――日ノ本。九洲は隈元県御一夜市。
疲弊しきった経済の立て直しを、蒸気機関車8620とそのレイルロオド・ハチロクとを主役に据えた..."
"
One Room サードシーズン
",とある高校の園芸部で、あなたは後輩の琴川晶と穏やかな日々を送っている。あなたをからかい混じりに慕い、いつも笑顔の絶えない晶だが、夏休みに入ってからはどこか寂し気で……？二人きりの園芸部で、忘...
"
土下座で頼んでみた
","ついつい女の子の色んなものが見たくなっちゃう主人公・土下 座(どげすわる)。
彼には女の子を口説き落とす最終手段があった。
―― そう、「土下座」である。
「お願い」を聞いてもらうまでひたす..."
"
ぐらぶるっ!
",本格スマホRPG『グランブルーファンタジー』公式4コマ漫画「ぐらぶるっ！」が、ついにショートアニメ化!
"
せいぜいがんばれ！魔法少女くるみ (第3期)
",
"
それだけがネック
","とある郊外のコンビニの日常。
どこにでもありそうで、どこにでもいそうなコンビニバイト達、ただ、一人のバイトが怪しい。
全くしゃべらず、何かを黙々と作り続ける、決して顔が映らない一人のバイト。..."
"
かえるのピクルス -きもちのいろ-
","観て癒される。
観て元気づけられる。
観て人にやさしくなれる。"
"
最響カミズモード!
","神々たちの力比べ、カミズモウ！
　それはゴウリキシンと呼ばれる神々と、神通力を持つ人間の親方がタッグを組んで行われる戦い。
　そんな戦いとは無関係の日々を送っていた少年、夢幻ダイのもとにある..."
"
エタニティ ～深夜の濡恋ちゃんねる♡～
",堤美佳、二十九歳。職業、翻訳家兼小説家。自分が食べていけるくらいの貯えはあるし、ずっとひとりで生きていくのかと思ってた――。そんなとき、降って湧いたお見合い話の相手は、長身ですごくモテそうな...
"
兄に付ける薬はない！4-快把我哥帯走4-
",
"
大人にゃ恋の仕方がわからねぇ!
",マグロ君かどうか、試してみる?
