title,info
"
のんのんびより
",両親の仕事の都合で田舎へ引っ越してきた一条蛍と、越谷姉妹や宮内姉妹などとの日々の光景を描く。そこは「牛横断注意」の看板があったり、バスが2時間おきにしか来ないほどの地方であった。
"
キルラキル
",父の仇を探す女子高生の纏 流子は、自らが持つ片太刀バサミの謎を追って本能字学園へと転校した。だが、学園は人間に人知を超えた力を与える制服「極制服」を操る生徒会によって支配されていた。極制服を...
"
境界の彼方
",ある日、神原秋人は今にも校舎の屋上から飛び降りそうな栗山未来を見つける。それぞれに事情を持つ半妖夢の少年と血に纏わる異界士の少女が出会い、やがて2人は大地主である名瀬家を巻き込んだ事件に関わ...
"
ログ・ホライズン
",MMORPG〈エルダー・テイル〉をプレイしていたプレイヤーは、12番目の拡張パック「ノウアスフィアの開墾」が導入されたその日、ログインしていた全世界のユーザーが、ゲームの舞台と酷似した異世界...
"
アウトブレイク・カンパニー
",加納慎一は自宅警備員であった。およそ一年間に及ぶ自宅警備員の生活は親によって強制的に終了させられた。そんな慎一が切羽詰まった挙句に、就活で手にしたのは異世界でオタク文化を紹介し広める仕事だっ...
"
リトルバスターズ! ～Refrain～
",野球チームを作ろう。……チーム名は、リトルバスターズだ！
"
俺の脳内選択肢が、学園ラブコメを全力で邪魔している
",選べ。
"
蒼き鋼のアルペジオ
",21世紀初頭、人類は温暖化の影響により地上での版図を大きく失った。そこへ突然、世界各地へ霧と共に謎の超兵器を搭載した第二次世界大戦時の軍艦群が出現。意思を持ち、“霧の艦隊”と呼ばれるその軍艦...
"
東京レイヴンズ
",土御門春虎は、陰陽道の名門・土御門家の分家の者であるにもかかわらず霊気を感じ取る力「見鬼」の才すら持たない落ちこぼれだった。陰陽師になる気もなく田舎で普通の高校生をしていた春虎は、本家の息女...
"
ストライク・ザ・ブラッド
","伝説の中にしか存在しないとされていた最強の吸血鬼""第四真祖""。日本に出現したそれを監視・抹殺するために、政府の獅子王機関が選んだのは、何故か見習い""剣巫""の姫柊雪菜であった。分不相応な任務と..."
"
WHITE ALBUM 2
",峰城大付属3年生の北原春希は学園生時代最後の思い出を作るため軽音楽同好会へ加入するが、バンドは痴情のもつれから崩壊してしまった。学園祭のバンド発表を成功させるためメンバー集めを開始した春希は...
"
ガリレイドンナ
","西暦2061年。氷河期の初期環境が訪れている近未来。
イタリアのトスカーナに住む、ガリレオ・ガリレイの子孫・フェラーリ三姉妹は、謎の組織から襲撃を受けた上に、突如、国際指名手配犯として追わ..."
"
サムライフラメンコ
",特に能力も持たずに「正義の味方」になってしまったファッションモデルの青年と、特に正義感を持たない警察官の青年をダブル主人公にした作品。
"
凪のあすから
","かつて全ての人間たちが海の中で普通に呼吸し、生活を営んでいた世界があった。だが、ある時を境として陸に上がって生きる人たちも現れ、やがて人の世界は海と陸に分かたれた。
そんな海の世界で生きる..."
"
機巧少女は傷つかない
",魔術によって人形に生命を吹き込み操る機巧魔術を扱う人形使いが存在する世界。自動人形・夜々とともに、少年・赤羽雷真はヴァルプルギス王立学院の門を叩いた。
"
ゴールデンタイム
",私立大学の新入生である主人公・多田万里とその周りの人物が織り成す、大学を舞台としたラブコメディ。
"
勇者になれなかった俺はしぶしぶ就職を決意しました。
","ラウル・チェイサーは、幼い頃からひたすら勇者を目指して努力を重ね、全国勇者模試でS判定、勇者予備校の首席にまで上り詰めた。
しかし、勇者試験の直前に魔王が倒され、勇者制度は廃止。夢を失った..."
"
IS 〈インフィニット・ストラトス〉 2
",「世界で唯一ISを使える男」である一夏は、彼以外が全員女子のIS学園生徒達にとっては興味の的。様々な出会いや再会を通し、一夏の前途多難な日常と、ISを巡る戦いの日々が始まる。
"
ワルキューレ ロマンツェ
",主人公・水野貴弘は、馬上槍試合「ジョスト」で自らの力を試すために本場の欧州に留学したが、ジョストの大会決勝で大怪我をし、力を発揮できなくなってしまい引退し、べグライター（騎士補佐）を専攻して...
"
ぎんぎつね
",とある町の小さな稲荷神社を舞台に、神社の十五代目跡取・冴木まことと、神使（しんし）の狐・銀太郎の2人が中心となって、神社や神々にまつわる存在を中心とした日常を描く。
"
京騒戯画
",外界から隔離され、時間が止まった京都=〈鏡都〉を舞台にしたアクションファンタジー。
"
COPPELION
",西暦2036年、「コッペリオン」と呼ばれる遺伝子操作により生まれた3人の女子高生が無人の東京を歩いていた。3人は、お台場の原子力発電所で発生したメルトダウンにより死の街と化した東京から生存者...
"
メガネブ!
",「メガネ部」という部活が存在する。
"
弱虫ペダル
",千葉県立総北高等学校の新入生、小野田坂道はアニメやゲームや秋葉原を愛するオタクである。中学時代にオタクの友達ができなかった彼は高校でアニメ・漫画研究部に入ろうとするが、部員数減少のため活動休...
"
夜桜四重奏 ～ハナノウタ～
",人間と妖怪が共存する桜新町に続発する、乱射魔事件に犬の妖怪化などの奇怪な事件に、4人の猛き美少女とクールな少年達が立ち向かう。
"
かぐや姫の物語
",キャッチコピーは「姫の犯した罪と罰」。
"
てさぐれ!部活もの
",てさぐり部という「新しい部活動のあり方を考えるための部活」に所属する女子高生の会話劇で、毎回1つの既存の部活動にスポットをあて「その部活のあるあるネタを語り合う」「その部活で起こったら楽しい...
"
世界でいちばん強くなりたい!
",アイドルがプロレスラーの道を歩み始める話。
"
サカサマのパテマ
","「かつて、多くの罪びとが空に落ちた」と“空”を忌み嫌う世界・アイガ。そこに住む少年・エイジは今の生活に鬱憤を募らせていた。そんな彼の前に、突然サカサマの少女・パテマが現れる。
地下の世界か..."
"
ガンダムビルドファイターズ
",とある世界の近未来。そこは現実世界とおおむね同じだが、2つの存在が大きく異なっていた。プラスチックに反応して外部から動かせる特質を有した「プラフスキー粒子」と、この粒子を使ってガンダムシリー...
"
ミス・モノクローム -The Animation-
","アンドロイド（ガイノイド）であるミス・モノクロームは、無機質で大きな城に住んでいた。
そんなある日、テレビに映るKIKUKOの姿を見て「もっと前に出たい」という思いから、KIKUKOのよう..."
"
ダイヤのA
",中学最後の大会、統合により廃校の決まっている赤城中の名を残すために出場するも、一回戦で自らの暴投により負けてしまった沢村栄純。仲間達と高校でリベンジをと考える中、東京の野球名門校・青道高校か...
"
マギ マグノシュタット編
",マグノシュタット学院とアル・サーメンの関係を探るためアラジンはマグノシュタットに留学する。
"
BLAZBLUE ALTER MEMORY
",2D対戦型格闘ゲーム『BLAZBLUE』原作。タイム・リープものである。
"
フリージング ヴァイブレーション
",人類を襲う「異次元体」との戦いで姉を失った少年・カズヤは、異次元体対応作戦学校「ゼネティックス」へと編入する。そこは未知の敵との戦いに備え「パンドラ」と呼ばれる少女達がしのぎを削る学園であっ...
"
ポケットモンスター ＸＹ
",ゲーム『ポケットモンスター X・Y』の発売に合わせてスタート予定の新シリーズ。
"
殺し屋さん
",殺し屋さんの話。
"
はじめの一歩 Rising
",母子家庭のいじめられっ子であり、釣り船屋を親子で支えている主人公・幕之内一歩が、プロボクサー鷹村守との出会いをきっかけに鴨川ボクシングジムに入門。「強いとは何か？」という問いの答えを求め、プ...
