title,info
"
この世界の片隅に
","18歳のすずさんに、突然縁談がもちあがる。
良いも悪いも決められないまま話は進み、1944（昭和19）年2月、すずさんは呉へとお嫁にやって来る。呉はそのころ日本海軍の一大拠点で、軍港の街とし..."
"
3月のライオン
",少年・桐山零（きりやま れい）は、幼い頃に交通事故で家族を失い、父の友人である棋士、幸田に内弟子として引き取られ、15歳で将棋のプロ棋士になった。幸田の実子との軋轢もあり、六月町にて1人暮ら...
"
聲の形
",「君に生きるのを、手伝ってほしい」聴覚の障害によっていじめ（嫌がらせ）を受けるようになった少女・硝子と、彼女のいじめの中心人物となったのが原因で周囲に切り捨てられ孤独になっていく少年・将也の...
"
ユーリ!!! on ICE
",本格フィギュアスケートアニメ。
"
ドリフターズ
",日本のサムライ、古代の戦術家、西部開拓時代のガンマン、第二次世界大戦時の軍人など古今東西の英雄が、中世ファンタジー風の異世界に召喚されるアクション系歴史ファンタジー作品。
"
Occultic；Nine-オカルティック・ナイン-
",オカルト板まとめブログ「キリキリバサラ」の管理人・我聞悠太は、超常現象を科学的に論破する日々を送っていた。ある時から、彼のもとにオカルト関連の人間が集い始めた。そして、彼らの周囲で起きるささ...
"
機動戦士ガンダム 鉄血のオルフェンズ 第2期
",大仕事を成し遂げ火星に帰還した鉄華団は、テイワズの庇護の下、ハーフメタル利権に由来する豊富な資金を元に、地球に支部を置くほどの急成長企業と化していた。一方、彼らの活躍によって少年兵の有用性が...
"
ポッピンQ
",通過点でしかないと思っていた卒業式を目前に控え、中学3年生の伊純は前に進めずにいた。そんな時、海で美しく輝く「時のカケラ」を拾った伊純は、不思議な世界「時の谷」へと迷い込む。そこで、同い年の...
"
響け!ユーフォニアム2
","吹奏楽コンクール京都府大会を突破した北宇治高校吹奏楽部は、強豪ひしめく関西大会に向けて練習を開始する。
臨時講師の先生も迎えて、レベルアップに勤しむ久美子たち。
しかし、そこへ昨年退部した傘..."
"
ガーリッシュナンバー
",女子大生・烏丸千歳は「つまんない事なんてしたくない」という思いから声優養成所の門を叩き、無事これを卒業して晴れて声優デビューを果たす。しかし彼女に回ってくるのは端役ばかり。「この業界はおかし...
"
フリップフラッパーズ
","扉をひらくカギを手にした二人のヒロイン、パピカとココナ。 
少女と少女は出会い、そして別の時間、異なる空間「ピュアイリュージョン」での冒険が始まる。 "
"
魔法少女育成計画
",人気ソーシャルゲーム「魔法少女育成計画」には、プレイヤーの数万人に一人を常人離れした身体能力と可憐な容姿、人間にはない特殊能力を持つ「魔法少女」にする力があった。しかし、とある地区で16人も...
"
刀剣乱舞-花丸-
",西暦2205年、時の政府は過去へ干渉し歴史改変を目論む「歴史修正主義者」に対抗すべく、物に眠る想いや心を目覚めさせ力を引き出す能力を持つ「審神者」（さにわ）と刀剣より生み出された付喪神「刀剣...
"
私がモテてどうすんだ
",高校生・芹沼花依は、男同士が仲良くしているのを見て妄想するのが大好きな腐女子。ある日花依は、大好きなアニメキャラが死んだショックで体重が激減し、それがきっかけで美少女に変身。高校の4人の美少...
"
終末のイゼッタ
",1939年、ゲルマニア帝国は隣国に侵略を開始する。翌1940年、その魔の手はゲルマニア南部に接するエイルシュタット公国にも伸びようとしていた。公国の皇女・フィーネは祖国の危機を救う為、同じく...
"
舟を編む
",「玄武書房」に勤める変人編集部員・馬締光也が、新しく刊行する辞書『大渡海』の編纂メンバーとして辞書編集部に迎えられ、個性豊かな編集者たちが辞書の世界に没頭していく姿を描いた作品。
"
ViVid Strike!
",『魔法少女リリカルなのはViVid』から1年後を描いた作品
