title,info
"
ツルネ ―風舞高校弓道部―
",鳴宮湊は、中学最後の弓道部の試合で負けてから、弓道を辞め、風舞高校に進学する。だが「夜多の森（やたのもり）弓道場」で凄腕の射手滝川雅貴と知り合ったのをきっかけに、再び弓道に向き合うことを決め...
"
風が強く吹いている
",ある春の日、蔵原走（寛政大学1年）は、高校時代にインターハイを制覇したスタミナと脚力を生かして、万引き犯として逃走中、清瀬灰二（寛政大学4年）につかまり、成り行きで清瀬が住むボロアパート、竹...
"
からくりサーカス
","小学5年生の才賀勝は父親の事故死によって
莫大な遺産を相続したことをきっかけに命を狙われていた。
そんな折、青年加藤鳴海は偶然にも勝と出会い、手を差し伸べることを決意する。"
"
SSSS.GRIDMAN
",響裕太はクラスメートの宝多六花の家で目を覚ました時、自分の名前を含む全ての記憶を失っていた。六花の家が営むジャンクショップに置かれていた古いパソコンから呼びかけて来るハイパーエージェントと名...
"
色づく世界の明日から
","日常の中に小さな魔法が残るちょっと不思議な世界。
主人公の月白瞳美は17歳。魔法使い一族の末裔。
幼い頃に色覚を失い、感情の乏しい子になった。
そんな瞳美の将来を憂えた大魔法使いの祖母・月白..."
"
ソードアート・オンライン アリシゼーション
",《ルーリッドの村》で育った少年・キリトは、幼馴染のユージオとともに巨大な黒樹・ギガスシダーを倒すという天職を背負っていた。今日も巨木を倒すべく斧を振るっていると、幼馴染のアリスが手作りのパイ...
"
転生したらスライムだった件
",通り魔に刺されて死んだ会社員、三上悟は異世界の洞窟でスライムとして転生した。
"
青春ブタ野郎はバニーガール先輩の夢を見ない
","――「思春期症候群」。

それはオカルトじみた出来事についての噂話。「他人の心の声が聞こえた」とか、「誰々の未来が見えた」とか、「誰かと誰かの人格が入れ替わった」とか、そういったにわかには信..."
"
寄宿学校のジュリエット
",寄宿学校、ダリア学園。敵対する２つの国の生徒が通う、この名門校に、許されぬ恋に悩む学生がいた。東和国寮の１年生リーダー“犬塚露壬雄”。彼の想い人は、宿敵・ウエスト公国寮の１年生リーダー“ジュ...
"
火ノ丸相撲
","弱小の大太刀高校相撲部に現れた1年生、""小さき""少年・潮火ノ丸！「デカく」「重く」が絶対の競技に似合わぬ体格のこの新入部員、実はとんでもない過去が!? "
"
やがて君になる
",高校に入ったばかりの小糸侑は、中学卒業の時に仲の良い男子に告白された返事をできずにいた。そんな折に出会った生徒会役員の七海燈子は、誰に告白されても相手のことを好きになれないという。燈子に共感...
"
ゾンビランドサガ
","いつもの朝。いつもの音楽。いつもの自分。
7人の少女たちの安寧は、突如崩壊する。
死して蠢く、ゾンビによって……"
"
抱かれたい男1位に脅されています。
",男前の役者に与えられる「抱かれたい男ランキング」で1位を獲得した新人俳優と、前年までその座を維持していた演技派俳優の恋愛模様が描かれる。
"
ジョジョの奇妙な冒険 黄金の風
",舞台は2001年のイタリア、DIOの息子「ジョルノ・ジョバァーナ」（ジョジョ）が、ギャング「パッショーネ」で憧れのギャングスターへと登りつめて行く姿と、彼の仲間との逃避行を描いた群像劇。
